City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Kaka,TM,37.3482,59.6143,86.49,40,0,15.77,clear sky
200,Carazinho,BR,-28.2839,-52.7864,63.75,79,100,7.56,overcast clouds
201,Falmouth,GB,50.1544,-5.0711,68.67,98,100,12.66,light intensity drizzle
202,Chokurdakh,RU,70.6333,147.9167,66.56,33,73,10.63,broken clouds
203,Norman Wells,CA,65.282,-126.8329,64.44,72,75,5.75,broken clouds
204,Leon Valley,US,29.4952,-98.6186,87.69,62,0,17.27,clear sky
205,Kavieng,PG,-2.5744,150.7967,85.66,64,25,7.99,scattered clouds
206,Santa Barbara,US,34.7333,-120.0343,57.29,77,0,5.75,clear sky
207,Kaitangata,NZ,-46.2817,169.8464,45.97,62,9,2.06,clear sky
208,Carballo,ES,43.213,-8.691,58.55,93,18,1.32,few clouds
209,Cabo San Lucas,MX,22.8909,-109.9124,80.51,84,97,5.75,overcast clouds
210,Ustupo,PA,9.1333,-77.9333,77.56,90,59,3.56,broken clouds
211,Claremore,US,36.3126,-95.6161,91.53,51,0,3.44,clear sky
212,Ponta Do Sol,PT,32.6667,-17.1,76.68,66,6,2.77,clear sky
213,Barcelos,PT,41.5388,-8.6151,65.91,89,1,2.48,clear sky
214,Fukue,JP,32.6881,128.8419,82.76,94,75,5.75,broken clouds
215,Cedar City,US,37.6775,-113.0619,77.04,41,88,6.96,overcast clouds
216,Dangriga,BZ,16.9692,-88.2321,80.69,83,100,8.57,overcast clouds
217,Charleston,US,32.7766,-79.9309,82.42,92,0,6.91,clear sky
218,Port Hardy,CA,50.6996,-127.4199,60.98,72,40,12.66,scattered clouds
219,Coihueco,CL,-36.6167,-71.8333,48.94,93,100,2.3,light rain
220,Kaeo,NZ,-35.1,173.7833,58.32,92,100,20.13,light rain
221,Rincon,US,32.296,-81.2354,77.5,81,13,5.64,few clouds
222,Lukaya,UG,-0.1489,31.8748,66.78,68,75,4.29,broken clouds
223,Marfino,RU,55.7028,37.3822,64.65,77,0,4.47,clear sky
224,Lahat,ID,-3.8,103.5333,81.99,78,100,1.07,overcast clouds
225,Vila Velha,BR,-20.3297,-40.2925,69.94,89,20,3.44,few clouds
226,Hofn,IS,64.2539,-15.2082,52.47,85,82,0.83,broken clouds
227,Oroszlany,HU,47.4867,18.3123,69.89,89,46,8.46,scattered clouds
228,Harper,LR,4.375,-7.7169,74.79,73,93,5.61,overcast clouds
229,Northam,GB,51.0333,-4.2167,64.09,92,100,15.66,overcast clouds
230,Faya,SA,18.3851,42.4509,61.32,62,100,7.76,overcast clouds
231,Portland,US,45.5234,-122.6762,75.18,62,20,9.22,few clouds
232,Umkomaas,ZA,-30.2067,30.7978,56.61,69,100,23.2,light rain
233,Lagoa,PT,39.05,-27.9833,72.03,92,0,9.95,clear sky
234,Namwala,ZM,-15.7504,26.4384,55.4,67,0,3.87,clear sky
235,Darnah,LY,32.767,22.6367,76.95,77,0,14.14,clear sky
236,Yambio,SS,4.5721,28.3955,66.09,97,15,0.45,few clouds
237,Olinda,BR,-8.0089,-34.8553,76.73,83,75,13.8,broken clouds
238,Taoudenni,ML,22.6783,-3.9836,96.62,8,1,16.62,clear sky
239,Arya,PK,33.6,73.0667,84.97,68,64,8.55,broken clouds
240,Coruripe,BR,-10.1256,-36.1756,73.18,83,7,11.86,clear sky
241,Dingle,PH,10.9995,122.6711,85.53,72,100,0.92,overcast clouds
242,Yumen,CN,40.2833,97.2,86.77,14,1,0.87,clear sky
243,Ixtapa,MX,20.7,-105.2,77.56,93,43,1.99,scattered clouds
244,Chernyshevskiy,RU,63.0128,112.4714,78.1,64,21,13.62,light rain
245,Kathu,TH,7.9178,98.3332,85.82,99,87,3.85,overcast clouds
246,Santa Fe,AR,-31.6333,-60.7,69.01,87,0,4.0,clear sky
247,Mazara Del Vallo,IT,37.6641,12.588,80.33,64,0,3.11,clear sky
248,Vaini,TO,-21.2,-175.2,73.56,78,40,10.36,scattered clouds
249,Nantucket,US,41.2835,-70.0995,78.91,77,100,5.75,fog
250,Mayo,US,38.8876,-76.5119,81.99,71,0,3.44,clear sky
251,Esmeralda,CU,21.8525,-78.1169,78.24,78,88,8.77,overcast clouds
252,Sobolevo,RU,54.4299,31.8996,60.98,93,93,6.29,light rain
253,Atambua,ID,-9.1061,124.8925,79.72,47,9,0.58,clear sky
254,Avera,US,33.194,-82.5271,80.11,66,34,6.38,scattered clouds
255,Fort Nelson,CA,58.8053,-122.7002,68.32,55,44,1.39,scattered clouds
256,Pitimbu,BR,-7.4706,-34.8086,73.99,88,83,14.2,broken clouds
257,Palmer,US,42.1584,-72.3287,79.21,75,75,8.05,broken clouds
258,Klaksvik,FO,62.2266,-6.589,50.61,90,98,22.53,overcast clouds
259,Sechura,PE,-5.5569,-80.8222,63.55,83,4,13.62,clear sky
260,Vanavara,RU,60.34,102.2797,70.74,56,32,7.78,scattered clouds
261,Pacifica,US,37.6138,-122.4869,54.32,89,63,9.51,broken clouds
262,Sena Madureira,BR,-9.0656,-68.6569,76.33,77,76,2.28,broken clouds
263,Healdsburg,US,38.6105,-122.8692,85.91,53,0,10.36,clear sky
264,Zeya,RU,53.75,127.2667,86.43,33,24,1.45,few clouds
265,Marshall,US,34.3834,-86.3333,81.37,83,0,3.44,clear sky
266,Severo-Kurilsk,RU,50.6789,156.125,57.18,90,100,5.35,overcast clouds
267,Cidreira,BR,-30.1811,-50.2056,61.68,98,100,8.12,overcast clouds
268,Nikki,BJ,9.9401,3.2108,69.53,97,100,5.41,light rain
269,Pangkalanbuun,ID,-2.6833,111.6167,85.26,64,54,5.28,broken clouds
270,Narsaq,GL,60.9167,-46.05,46.62,85,100,1.92,overcast clouds
271,Puerto Leguizamo,CO,-0.1934,-74.7819,70.66,94,98,1.68,overcast clouds
272,Aklavik,CA,68.2191,-135.0107,45.1,82,100,10.58,overcast clouds
273,Clifton Springs,AU,-38.15,144.5667,59.56,71,5,8.03,clear sky
274,Strezhevoy,RU,60.7333,77.5889,50.67,84,100,11.36,overcast clouds
275,Ankazobe,MG,-18.3167,47.1167,50.74,90,47,5.28,scattered clouds
276,Banyuwangi,ID,-8.2325,114.3576,81.55,55,40,8.21,scattered clouds
277,Vila,PT,42.0304,-8.1588,58.08,84,0,2.71,clear sky
278,Buraydah,SA,26.326,43.975,90.05,14,67,8.01,broken clouds
279,Kudahuvadhoo,MV,2.6708,72.8944,82.56,70,100,9.98,overcast clouds
280,Pecanha,BR,-18.5486,-42.5569,57.67,75,2,2.62,clear sky
281,Whitehorse,CA,60.7161,-135.0538,65.17,29,40,12.66,scattered clouds
282,Amapa,BR,1.0,-52.0,71.02,98,74,1.36,broken clouds
283,Aykhal,RU,66.0,111.5,71.96,54,77,26.19,broken clouds
